title,year,ratings
1. The Shawshank Redemption,"1994,2h 22m,R,9.3, (,2.9M,),Rate","9.3, (,2.9M,),Rate"
2. The Godfather,"1972,2h 55m,R,9.2, (,2M,),Rate","9.2, (,2M,),Rate"
3. The Dark Knight,"2008,2h 32m,PG-13,9.0, (,2.8M,),Rate","9.0, (,2.8M,),Rate"
4. The Godfather Part II,"1974,3h 22m,R,9.0, (,1.4M,),Rate","9.0, (,1.4M,),Rate"
5. 12 Angry Men,"1957,1h 36m,Approved,9.0, (,853K,),Rate","9.0, (,853K,),Rate"
6. Schindler's List,"1993,3h 15m,R,9.0, (,1.4M,),Rate","9.0, (,1.4M,),Rate"
7. The Lord of the Rings: The Return of the King,"2003,3h 21m,PG-13,9.0, (,2M,),Rate","9.0, (,2M,),Rate"
8. Pulp Fiction,"1994,2h 34m,R,8.9, (,2.2M,),Rate","8.9, (,2.2M,),Rate"
9. The Lord of the Rings: The Fellowship of the Ring,"2001,2h 58m,PG-13,8.9, (,2M,),Rate","8.9, (,2M,),Rate"
"10. The Good, the Bad and the Ugly","1966,2h 58m,Approved,8.8, (,803K,),Rate","8.8, (,803K,),Rate"
11. Forrest Gump,"1994,2h 22m,PG-13,8.8, (,2.2M,),Rate","8.8, (,2.2M,),Rate"
12. The Lord of the Rings: The Two Towers,"2002,2h 59m,PG-13,8.8, (,1.8M,),Rate","8.8, (,1.8M,),Rate"
13. Fight Club,"1999,2h 19m,R,8.8, (,2.3M,),Rate","8.8, (,2.3M,),Rate"
14. Inception,"2010,2h 28m,PG-13,8.8, (,2.5M,),Rate","8.8, (,2.5M,),Rate"
15. Star Wars: Episode V - The Empire Strikes Back,"1980,2h 4m,PG,8.7, (,1.4M,),Rate","8.7, (,1.4M,),Rate"
16. The Matrix,"1999,2h 16m,R,8.7, (,2M,),Rate","8.7, (,2M,),Rate"
17. Goodfellas,"1990,2h 25m,R,8.7, (,1.2M,),Rate","8.7, (,1.2M,),Rate"
18. One Flew Over the Cuckoo's Nest,"1975,2h 13m,R,8.7, (,1.1M,),Rate","8.7, (,1.1M,),Rate"
19. Se7en,"1995,2h 7m,R,8.6, (,1.8M,),Rate","8.6, (,1.8M,),Rate"
20. It's a Wonderful Life,"1946,2h 10m,PG,8.6, (,495K,),Rate","8.6, (,495K,),Rate"
21. Interstellar,"2014,2h 49m,PG-13,8.7, (,2.1M,),Rate","8.7, (,2.1M,),Rate"
22. Seven Samurai,"1954,3h 27m,Not Rated,8.6, (,364K,),Rate","8.6, (,364K,),Rate"
23. The Silence of the Lambs,"1991,1h 58m,R,8.6, (,1.5M,),Rate","8.6, (,1.5M,),Rate"
24. Saving Private Ryan,"1998,2h 49m,R,8.6, (,1.5M,),Rate","8.6, (,1.5M,),Rate"
25. City of God,"2002,2h 10m,R,8.6, (,794K,),Rate","8.6, (,794K,),Rate"
26. Life Is Beautiful,"1997,1h 56m,PG-13,8.6, (,736K,),Rate","8.6, (,736K,),Rate"
27. The Green Mile,"1999,3h 9m,R,8.6, (,1.4M,),Rate","8.6, (,1.4M,),Rate"
28. Terminator 2: Judgment Day,"1991,2h 17m,R,8.6, (,1.2M,),Rate","8.6, (,1.2M,),Rate"
29. Star Wars: Episode IV - A New Hope,"1977,2h 1m,PG,8.6, (,1.4M,),Rate","8.6, (,1.4M,),Rate"
30. Back to the Future,"1985,1h 56m,PG,8.5, (,1.3M,),Rate","8.5, (,1.3M,),Rate"
31. Spirited Away,"2001,2h 5m,PG,8.6, (,836K,),Rate","8.6, (,836K,),Rate"
32. Spider-Man: Across the Spider-Verse,"2023,2h 20m,PG,8.6, (,344K,),Rate","8.6, (,344K,),Rate"
33. The Pianist,"2002,2h 30m,R,8.5, (,901K,),Rate","8.5, (,901K,),Rate"
34. Parasite,"2019,2h 12m,R,8.5, (,934K,),Rate","8.5, (,934K,),Rate"
35. Psycho,"1960,1h 49m,R,8.5, (,712K,),Rate","8.5, (,712K,),Rate"
36. Gladiator,"2000,2h 35m,R,8.5, (,1.6M,),Rate","8.5, (,1.6M,),Rate"
37. The Lion King,"1994,1h 28m,G,8.5, (,1.1M,),Rate","8.5, (,1.1M,),Rate"
38. Léon: The Professional,"1994,1h 50m,R,8.5, (,1.2M,),Rate","8.5, (,1.2M,),Rate"
39. The Departed,"2006,2h 31m,R,8.5, (,1.4M,),Rate","8.5, (,1.4M,),Rate"
40. American History X,"1998,1h 59m,R,8.5, (,1.2M,),Rate","8.5, (,1.2M,),Rate"
41. Whiplash,"2014,1h 46m,R,8.5, (,970K,),Rate","8.5, (,970K,),Rate"
42. The Prestige,"2006,2h 10m,PG-13,8.5, (,1.4M,),Rate","8.5, (,1.4M,),Rate"
43. Grave of the Fireflies,"1988,1h 29m,Not Rated,8.5, (,305K,),Rate","8.5, (,305K,),Rate"
44. Harakiri,"1962,2h 13m,Not Rated,8.6, (,67K,),Rate","8.6, (,67K,),Rate"
45. The Usual Suspects,"1995,1h 46m,R,8.5, (,1.1M,),Rate","8.5, (,1.1M,),Rate"
46. Casablanca,"1942,1h 42m,PG,8.5, (,601K,),Rate","8.5, (,601K,),Rate"
47. The Intouchables,"2011,1h 52m,R,8.5, (,918K,),Rate","8.5, (,918K,),Rate"
48. Modern Times,"1936,1h 27m,G,8.5, (,257K,),Rate","8.5, (,257K,),Rate"
49. Cinema Paradiso,"1988,2h 54m,PG,8.5, (,280K,),Rate","8.5, (,280K,),Rate"
50. 12th Fail,"2023,2h 27m,9.1, (,96K,),Rate","9.1, (,96K,),Rate"
51. Rear Window,"1954,1h 52m,PG,8.5, (,518K,),Rate","8.5, (,518K,),Rate"
52. Once Upon a Time in the West,"1968,2h 46m,PG-13,8.5, (,347K,),Rate","8.5, (,347K,),Rate"
53. Alien,"1979,1h 57m,R,8.5, (,940K,),Rate","8.5, (,940K,),Rate"
54. City Lights,"1931,1h 27m,G,8.5, (,194K,),Rate","8.5, (,194K,),Rate"
55. Apocalypse Now,"1979,2h 27m,R,8.4, (,704K,),Rate","8.4, (,704K,),Rate"
56. Django Unchained,"2012,2h 45m,R,8.5, (,1.7M,),Rate","8.5, (,1.7M,),Rate"
57. Memento,"2000,1h 53m,R,8.4, (,1.3M,),Rate","8.4, (,1.3M,),Rate"
58. WALL·E,"2008,1h 38m,G,8.4, (,1.2M,),Rate","8.4, (,1.2M,),Rate"
59. Raiders of the Lost Ark,"1981,1h 55m,PG,8.4, (,1M,),Rate","8.4, (,1M,),Rate"
60. The Lives of Others,"2006,2h 17m,R,8.4, (,407K,),Rate","8.4, (,407K,),Rate"
61. Sunset Blvd.,"1950,1h 50m,Passed,8.4, (,234K,),Rate","8.4, (,234K,),Rate"
62. Paths of Glory,"1957,1h 28m,Approved,8.4, (,210K,),Rate","8.4, (,210K,),Rate"
63. Avengers: Infinity War,"2018,2h 29m,PG-13,8.4, (,1.2M,),Rate","8.4, (,1.2M,),Rate"
64. Spider-Man: Into the Spider-Verse,"2018,1h 57m,PG,8.4, (,658K,),Rate","8.4, (,658K,),Rate"
65. The Shining,"1980,2h 26m,R,8.4, (,1.1M,),Rate","8.4, (,1.1M,),Rate"
66. Witness for the Prosecution,"1957,1h 56m,Approved,8.4, (,136K,),Rate","8.4, (,136K,),Rate"
67. The Great Dictator,"1940,2h 5m,G,8.4, (,236K,),Rate","8.4, (,236K,),Rate"
68. Aliens,"1986,2h 17m,R,8.4, (,756K,),Rate","8.4, (,756K,),Rate"
69. Inglourious Basterds,"2009,2h 33m,R,8.4, (,1.6M,),Rate","8.4, (,1.6M,),Rate"
70. The Dark Knight Rises,"2012,2h 44m,PG-13,8.4, (,1.8M,),Rate","8.4, (,1.8M,),Rate"
71. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"1964,1h 35m,PG,8.4, (,514K,),Rate","8.4, (,514K,),Rate"
72. American Beauty,"1999,2h 2m,R,8.3, (,1.2M,),Rate","8.3, (,1.2M,),Rate"
73. Oldboy,"2003,2h,R,8.3, (,627K,),Rate","8.3, (,627K,),Rate"
74. Coco,"2017,1h 45m,PG,8.4, (,579K,),Rate","8.4, (,579K,),Rate"
75. Amadeus,"1984,2h 40m,PG,8.4, (,424K,),Rate","8.4, (,424K,),Rate"
76. Toy Story,"1995,1h 21m,G,8.3, (,1.1M,),Rate","8.3, (,1.1M,),Rate"
77. The Boat,"1981,2h 29m,8.4, (,263K,),Rate","8.4, (,263K,),Rate"
78. Braveheart,"1995,2h 58m,R,8.3, (,1.1M,),Rate","8.3, (,1.1M,),Rate"
79. Avengers: Endgame,"2019,3h 1m,PG-13,8.4, (,1.2M,),Rate","8.4, (,1.2M,),Rate"
80. Joker,"2019,2h 2m,R,8.4, (,1.5M,),Rate","8.4, (,1.5M,),Rate"
81. Princess Mononoke,"1997,2h 14m,PG-13,8.3, (,428K,),Rate","8.3, (,428K,),Rate"
82. Oppenheimer,"2023,3h,R,8.4, (,631K,),Rate","8.4, (,631K,),Rate"
83. Good Will Hunting,"1997,2h 6m,R,8.3, (,1.1M,),Rate","8.3, (,1.1M,),Rate"
84. Your Name.,"2016,1h 46m,TV-PG,8.4, (,313K,),Rate","8.4, (,313K,),Rate"
85. Once Upon a Time in America,"1984,3h 49m,R,8.3, (,374K,),Rate","8.3, (,374K,),Rate"
86. High and Low,"1963,2h 23m,Not Rated,8.4, (,52K,),Rate","8.4, (,52K,),Rate"
87. 3 Idiots,"2009,2h 50m,PG-13,8.4, (,429K,),Rate","8.4, (,429K,),Rate"
88. Singin' in the Rain,"1952,1h 43m,G,8.3, (,258K,),Rate","8.3, (,258K,),Rate"
